ID,sigma,isConv,finTol,logLik,AIC,BIC,deviance,df.residual,nobs,Model
1001_8,1.38411522719339,TRUE,1.49011611938477e-08,-568.275550354925,1146.55110070985,1165.50090156434,618.795312773998,323,327,Dijkstra
1063_1,1.49058039103043,FALSE,1.49011611938477e-08,-814.319779621095,1638.63955924219,1659.1746736809,988.714306445369,445,449,Dijkstra
1141_4,1.32407880671359,TRUE,1.49011611938477e-08,-467.090286615181,944.180573230362,962.282577558948,476.86623469756,272,276,Dijkstra
1313_5,1.30766811729482,TRUE,1.49011611938477e-08,-549.696841801306,1109.39368360261,1128.3434844571,552.32867731157,323,327,Dijkstra
1404_1,1.30943617981257,TRUE,1.49011611938477e-08,-501.169939687,1012.339879374,1030.82534680653,504.099194046625,294,298,Dijkstra
1450_6,1.41940265620652,TRUE,1.49011611938477e-08,-633.122474426849,1276.2449488537,1295.66156079614,715.219884658379,355,359,Dijkstra
1517_1,1.36435262712026,TRUE,1.49011611938477e-08,-497.845800746923,1005.69160149385,1024.02373493441,530.51555597204,285,289,Dijkstra
1581_2,1.2569951697822,TRUE,1.49011611938477e-08,-559.841130719398,1129.6822614388,1148.84167382521,532.472420760398,337,341,Dijkstra
1687_1,1.31823120856049,TRUE,1.49011611938477e-08,-604.880860099683,1219.76172019937,1239.16438513137,615.157665804885,354,358,Dijkstra
1776_4,1.46925390976706,FALSE,1.49011611938477e-08,-517.449640258814,1044.89928051763,1063.21408291831,613.072802587881,284,288,Dijkstra
1876_4,1.33294869311243,TRUE,1.49011611938477e-08,-571.315580085269,1152.63116017054,1171.71671597035,589.881736532089,332,336,Dijkstra
1970_3,1.39927748783767,TRUE,1.49011611938477e-08,-638.525473487533,1287.05094697507,1306.55043374298,706.829873156917,361,365,Dijkstra
1002_1,1.4087438542606,TRUE,1.49011611938477e-08,-616.32308857611,1242.64617715222,1261.95010826955,688.642058680205,347,351,Dijkstra
1077_3,1.41150454808853,TRUE,1.49011611938477e-08,-676.973506631425,1363.94701326285,1383.71322993429,759.08347901362,381,385,Dijkstra
1152_5,1.40012139842854,TRUE,1.49011611938477e-08,-644.012123378628,1298.02424675726,1317.5646614481,713.563734642844,364,368,Dijkstra
1316_3,1.43571443853654,TRUE,1.49011611938477e-08,-701.327248942769,1412.65449788554,1432.54892671004,805.958896067715,391,395,Dijkstra
1407_1,1.43675768322415,TRUE,1.49011611938477e-08,-551.979879168877,1113.95975833775,1132.65872289865,633.731700573213,307,311,Dijkstra
1456_1,1.31806859594337,TRUE,1.49011611938477e-08,-572.629045489766,1155.25809097953,1174.38809151644,581.99711591006,335,339,Dijkstra
1523_1,1.52866666585385,TRUE,1.49011611938477e-08,-589.697785974355,1189.39557194871,1208.25277756436,740.772502767791,317,321,Dijkstra
1603_3,1.33714861700957,TRUE,1.49011611938477e-08,-534.763238334411,1079.52647666882,1098.27344159836,554.269591430887,310,314,Dijkstra
1703_1,1.27722770523155,TRUE,1.49011611938477e-08,-731.651883965865,1473.30376793173,1493.74899230896,712.882737011829,437,441,Dijkstra
1789_2,1.42010024900058,TRUE,1.49011611938477e-08,-535.96518959895,1081.9303791979,1100.51551770493,605.005415163452,300,304,Dijkstra
1877_5,1.3931759069436,TRUE,1.49011611938477e-08,-636.930402590537,1283.86080518107,1303.36029194899,700.679017875411,361,365,Dijkstra
1971_3,1.43178511528901,TRUE,1.49011611938477e-08,-764.248550435524,1538.49710087105,1558.82764132157,875.353679187074,427,431,Dijkstra
1024_1,1.39912839471362,FALSE,1.49011611938477e-08,-605.1449976832,1220.2899953664,1239.52218924169,669.485610593719,342,346,Dijkstra
1104_6,1.45725499227435,FALSE,1.49011611938477e-08,-590.500488736669,1191.00097747334,1209.99644074564,692.291028677772,326,330,Dijkstra
1181_3,1.41383134885532,TRUE,1.49011611938477e-08,-555.803649421939,1121.60729884388,1140.38600991181,623.66275389789,312,316,Dijkstra
1346_2,1.54111629436083,TRUE,1.49011611938477e-08,-568.232129919545,1146.46425983909,1165.11475875396,722.011987554319,304,308,Dijkstra
1414_2,1.47327302004888,TRUE,1.49011611938477e-08,-563.398136507122,1136.79627301424,1155.52728896695,670.694818005621,309,313,Dijkstra
1459_1,1.4932389047055,FALSE,1.49011611938477e-08,-713.204972103357,1436.40994420672,1456.27899226606,867.377583918642,389,393,Dijkstra
1525_4,1.35227539946595,FALSE,1.49011611938477e-08,-705.209078261187,1420.41815652237,1440.51112259485,744.26004369232,407,411,Dijkstra
1607_2,1.35510764438192,TRUE,1.49011611938477e-08,-614.758097654287,1239.51619530857,1258.91886024058,650.056121663255,354,358,Dijkstra
1705_3,1.38775829423828,TRUE,1.49011611938477e-08,-581.361759803964,1172.72351960793,1191.77922457281,635.538117464953,330,334,Dijkstra
1797_2,1.37401126171614,TRUE,1.49011611938477e-08,-635.347983810116,1280.69596762023,1300.2227768605,685.310221878168,363,367,Dijkstra
1898_4,1.32423660612147,TRUE,1.49011611938477e-08,-528.31676909401,1066.63353818802,1085.34855412707,540.109597409572,308,312,Dijkstra
1975_1,1.42477403753106,TRUE,1.49011611938477e-08,-664.619148984524,1339.23829796905,1358.886243686,755.152953584389,372,376,Dijkstra
1025_4,1.32845126502552,TRUE,1.49011611938477e-08,-638.299363432489,1286.59872686498,1306.24667258193,656.499188039821,372,376,Dijkstra
1112_1,1.34956686567475,TRUE,1.49011611938477e-08,-553.134794459925,1116.26958891985,1135.15785053596,581.004501251768,319,323,Dijkstra
1183_4,1.34950244777269,TRUE,1.49011611938477e-08,-532.49479656632,1074.98959313264,1093.68855769354,559.095154959157,307,311,Dijkstra
1369_1,1.30975826440766,TRUE,1.49011611938477e-08,-531.642068606602,1073.2841372132,1092.06284828114,535.225613889462,312,316,Dijkstra
1416_3,1.39145900139127,FALSE,1.49011611938477e-08,-536.768641752125,1083.53728350425,1102.18778241912,588.59207837605,304,308,Dijkstra
1495_1,1.38688247019343,TRUE,1.49011611938477e-08,-628.293730394354,1266.58746078871,1286.03185058037,686.669146048345,357,361,Dijkstra
1528_3,1.3855572765719,FALSE,1.49011611938477e-08,-610.49789280545,1230.9957856109,1250.29971672823,666.159831431484,347,351,Dijkstra
1642_1,1.43097954654023,TRUE,1.49011611938477e-08,-586.273369281736,1182.54673856347,1201.55733044036,669.598705275587,327,331,Dijkstra
1719_5,1.35549073641544,TRUE,1.49011611938477e-08,-647.598801846766,1305.19760369353,1324.85882963077,685.333465917516,373,377,Dijkstra
1807_2,1.31748953439856,TRUE,1.49011611938477e-08,-582.648289314717,1175.29657862943,1194.51430071459,591.900527578162,341,345,Dijkstra
1917_1,1.40781395792475,TRUE,1.49011611938477e-08,-628.418383604761,1266.83676720952,1286.23943214153,701.606809605224,354,358,Dijkstra
1978_2,1.5014022530822,TRUE,1.49011611938477e-08,-510.905617822004,1031.81123564401,1050.00300899068,624.415816980202,277,281,Dijkstra
1035_2,1.36708836910251,TRUE,1.49011611938477e-08,-595.397813419622,1200.79562683924,1220.0133489244,637.305337646954,341,345,Dijkstra
1117_1,1.47401202402465,TRUE,1.49011611938477e-08,-677.393643761693,1364.78728752339,1384.43523324034,808.248658272555,372,376,Dijkstra
1206_3,1.34643973112111,TRUE,1.49011611938477e-08,-564.400573858436,1138.80114771687,1157.79661098918,591.005383550526,326,330,Dijkstra
1375_2,1.41091696735662,TRUE,1.49011611938477e-08,-667.9971751454,1345.9943502908,1365.6952065544,748.498194979324,376,380,Dijkstra
1422_1,1.40958623853623,FALSE,1.49011611938477e-08,-787.472184438231,1584.94436887646,1605.46833503854,882.198413558598,444,448,Dijkstra
1509_1,1.31052414752672,FALSE,1.49011611938477e-08,-516.622127215074,1043.24425443015,1061.87849316808,520.394482998941,303,307,Dijkstra
1529_3,1.32488066610052,TRUE,1.49011611938477e-08,-637.287393546276,1284.57478709255,1304.2227328095,652.974865939392,372,376,Dijkstra
1665_5,1.49692266369082,TRUE,1.49011611938477e-08,-777.956385484245,1565.91277096849,1586.2083869464,950.089643494197,424,428,Dijkstra
1722_3,1.3958125031935,TRUE,1.49011611938477e-08,-625.35339110505,1260.7067822101,1280.1094471421,689.695560601242,354,358,Dijkstra
1836_1,1.42156407024988,TRUE,1.49011611938477e-08,-559.29798787711,1128.59597575422,1147.39048462361,632.524299023355,313,317,Dijkstra
1925_2,1.53302952711633,TRUE,1.49011611938477e-08,-579.535277135167,1169.07055427034,1187.83341746446,730.905834144273,311,315,Dijkstra
1039_7,1.35248587329153,TRUE,1.49011611938477e-08,-670.854882131166,1351.70976426233,1371.55330206226,707.907380494375,387,391,Dijkstra
1135_6,1.42879014222243,TRUE,1.49011611938477e-08,-557.35366102207,1124.70732204414,1143.47018523827,634.888235129227,311,315,Dijkstra
1215_8,1.43122519685286,FALSE,1.49011611938477e-08,-550.780007713795,1111.56001542759,1130.25897998849,628.860508180702,307,311,Dijkstra
1376_7,1.50380005570994,TRUE,1.49011611938477e-08,-615.491698652281,1240.98339730456,1260.09862678198,755.312478922772,334,338,Dijkstra
1428_3,1.37427338230327,TRUE,1.49011611938477e-08,-546.836155356951,1103.6723107139,1122.45102178184,589.251726743866,312,316,Dijkstra
1512_1,1.38622897256717,TRUE,1.49011611938477e-08,-600.194655742546,1210.38931148509,1229.60703357025,655.276090655157,341,345,Dijkstra
1530_1,1.42133359753472,FALSE,1.49011611938477e-08,-509.670390011322,1029.34078002264,1047.67291346321,575.753920712081,285,289,Dijkstra
1669_2,1.41376018133313,TRUE,1.49011611938477e-08,-532.839700767026,1075.67940153405,1094.2480655616,597.616637246606,299,303,Dijkstra
1738_3,1.42361314180149,TRUE,1.49011611938477e-08,-650.135334248498,1310.270668497,1329.81108318784,737.709473413607,364,368,Dijkstra
1854_3,1.35297090493482,TRUE,1.49011611938477e-08,-615.914429196744,1241.82885839349,1261.24547033593,649.838245708054,355,359,Dijkstra
1950_3,1.44898633759292,TRUE,1.49011611938477e-08,-647.687303747196,1305.37460749439,1324.84662166572,753.742544944611,359,363,Dijkstra
1048_1,1.331149158554,TRUE,1.49011611938477e-08,-676.572372183201,1363.1447443664,1383.07700439282,698.15148443369,394,398,Dijkstra
1138_5,1.35852185535265,TRUE,1.49011611938477e-08,-872.737304513494,1755.47460902699,1776.61716404494,928.327560629813,503,507,Dijkstra
1300_2,1.354881468011,TRUE,1.49011611938477e-08,-607.807601923359,1225.61520384672,1244.96168841239,642.496327325874,350,354,Dijkstra
1389_5,1.40685273491385,TRUE,1.49011611938477e-08,-594.727650849762,1199.45530169952,1218.58530223643,663.04359694108,335,339,Dijkstra
1429_2,1.38451160240783,TRUE,1.49011611938477e-08,-510.806347121336,1031.61269424267,1050.03059307937,555.892989388552,290,294,Dijkstra
1514_3,1.44317947739484,FALSE,1.49011611938477e-08,-717.662243109159,1445.32448621832,1465.31916902805,831.024034585482,399,403,Dijkstra
1560_1,1.32373840463389,TRUE,1.49011611938477e-08,-596.176783384021,1202.35356676804,1221.67172264603,609.794610638129,348,352,Dijkstra
1670_2,1.39513827511102,TRUE,1.49011611938477e-08,-507.79835808273,1025.59671616546,1043.96333250132,558.619901517091,287,291,Dijkstra
1767_5,1.44942712899467,TRUE,1.49011611938477e-08,-517.117087891263,1044.23417578253,1062.58358039743,600.839954647997,286,290,Dijkstra
1856_7,1.2881011757771,TRUE,1.49011611938477e-08,-528.045418745383,1066.09083749077,1084.88534636015,519.331052019005,313,317,Dijkstra
1966_2,1.3834264901957,TRUE,1.49011611938477e-08,-569.856334188534,1149.71266837707,1168.67773641899,620.093508623165,324,328,Dijkstra
1001_8,1.73433931842284,TRUE,1.49011611938477e-08,-642.540857325746,1293.08171465149,1308.24155533508,974.570250342482,324,327,Wood
1063_1,1.9971740663718,TRUE,1.49011611938477e-08,-946.186581179815,1900.37316235963,1916.8012539106,1778.96209611909,446,449,Wood
1141_4,1.37221136144979,TRUE,1.49011611938477e-08,-477.451729019733,962.903458039466,977.385061502335,514.049177594285,273,276,Wood
1313_5,1.41033274628118,TRUE,1.49011611938477e-08,-574.916970298116,1157.83394059623,1172.99378127982,644.448459495494,324,327,Wood
1404_1,1.34249187534229,TRUE,1.49011611938477e-08,-509.10527515813,1026.21055031626,1040.99892426228,531.673908431214,295,298,Wood
1450_6,1.66320277403225,TRUE,1.49011611938477e-08,-690.532130910902,1389.0642618218,1404.59755137576,984.782674447292,356,359,Wood
1517_1,1.38601186462393,TRUE,1.49011611938477e-08,-502.903799575389,1013.80759915078,1028.47330590323,549.414262219196,286,289,Wood
1581_2,1.72156934658028,TRUE,1.49011611938477e-08,-667.594976027047,1343.18995205409,1358.51748196323,1001.76474309868,338,341,Wood
1687_1,1.61196221234284,TRUE,1.49011611938477e-08,-677.401563073583,1362.80312614717,1378.32525809277,922.439871777538,355,358,Wood
1776_4,1.66027440735023,TRUE,1.49011611938477e-08,-553.157503951875,1114.31500790375,1128.96684982429,785.605665695116,285,288,Wood
1876_4,2.27558768466788,TRUE,1.49011611938477e-08,-751.528693503007,1511.05738700601,1526.32583164587,1724.37367043384,333,336,Wood
1970_3,2.317101943768,TRUE,1.49011611938477e-08,-823.122159818489,1654.24431963698,1669.84390905131,1943.56403324847,362,365,Wood
1002_1,1.75811832010552,TRUE,1.49011611938477e-08,-694.590657522179,1397.18131504436,1412.62445993822,1075.66104956675,348,351,Wood
1077_3,1.67470386175802,TRUE,1.49011611938477e-08,-743.305455608056,1494.61091121611,1510.42388455326,1071.36981539232,382,385,Wood
1152_5,1.41906028642307,TRUE,1.49011611938477e-08,-649.461349386736,1306.92269877347,1322.55503052615,735.01221522364,365,368,Wood
1316_3,1.49981579871553,TRUE,1.49011611938477e-08,-719.085203792418,1446.17040758484,1462.08595064444,881.783392590069,392,395,Wood
1407_1,1.76805851114292,TRUE,1.49011611938477e-08,-617.015922337142,1242.03184467428,1256.991016323,962.817516838071,308,311,Wood
1456_1,2.03726042805881,TRUE,1.49011611938477e-08,-720.747912676863,1449.49582535373,1464.79982578325,1394.54449738275,336,339,Wood
1523_1,1.53351716051092,TRUE,1.49011611938477e-08,-591.220226105326,1190.44045221065,1205.52621670317,747.832612342911,318,321,Wood
1603_3,2.10549218870896,TRUE,1.49011611938477e-08,-677.827955072277,1363.65591014456,1378.65348208819,1378.6932779382,311,314,Wood
1703_1,1.65818789190594,TRUE,1.49011611938477e-08,-847.271658098072,1702.54331619614,1718.89949569793,1204.3191431702,438,441,Wood
1789_2,1.82315174864935,TRUE,1.49011611938477e-08,-612.422150675971,1232.84430135194,1247.71241215757,1000.48857187956,301,304,Wood
1877_5,1.46965024776777,TRUE,1.49011611938477e-08,-656.940288963552,1321.8805779271,1337.48016734143,781.873609976522,362,365,Wood
1971_3,1.52432199548355,TRUE,1.49011611938477e-08,-791.745191531201,1591.4903830624,1607.75481542282,994.482629651603,428,431,Wood
1024_1,1.57071158752267,TRUE,1.49011611938477e-08,-645.675141733316,1299.35028346663,1314.73603856686,846.227267674052,343,346,Wood
1104_6,1.8592412135466,TRUE,1.49011611938477e-08,-671.398446248607,1350.79689249721,1365.99326311506,1130.36637007913,327,330,Wood
1181_3,1.57149785584873,TRUE,1.49011611938477e-08,-589.718642113997,1187.43728422799,1202.46025308234,772.986524923328,313,316,Wood
1346_2,1.67962659387096,TRUE,1.49011611938477e-08,-595.245738219165,1198.49147643833,1213.41187557023,860.449375925759,305,308,Wood
1414_2,1.59409359443724,TRUE,1.49011611938477e-08,-588.574083575202,1185.1481671504,1200.13297991256,787.751660226013,310,313,Wood
1459_1,3.19966158555482,TRUE,1.49011611938477e-08,-1013.2137935867,2034.4275871734,2050.32282562088,3992.75536220932,390,393,Wood
1525_4,1.37279644346456,TRUE,1.49011611938477e-08,-711.903527970282,1431.80705594056,1447.88142879855,768.90459067709,408,411,Wood
1607_2,1.71565393609293,TRUE,1.49011611938477e-08,-699.720038256441,1407.44007651288,1422.96220845848,1044.93129209306,355,358,Wood
1705_3,1.72079197446184,TRUE,1.49011611938477e-08,-653.708761081026,1315.41752216205,1330.66208613396,980.132381412218,331,334,Wood
1797_2,1.54326911830702,TRUE,1.49011611938477e-08,-678.486667473491,1364.97333494698,1380.5947823392,866.93136403333,364,367,Wood
1898_4,1.34839533830142,TRUE,1.49011611938477e-08,-534.463121372889,1076.92624274578,1091.89825549702,561.814526401077,309,312,Wood
1975_1,1.63942249999898,TRUE,1.49011611938477e-08,-717.888233594628,1443.77646718926,1459.49482376282,1002.51438779658,373,376,Wood
1025_4,1.99881543615757,TRUE,1.49011611938477e-08,-792.415448332805,1592.83089666561,1608.54925323917,1490.23315413753,373,376,Wood
1112_1,2.3766136794351,TRUE,1.49011611938477e-08,-736.423695034921,1480.84739006984,1495.95799936273,1807.45362600898,320,323,Wood
1183_4,1.69948475254524,TRUE,1.49011611938477e-08,-604.7137140526,1217.4274281052,1232.38659975392,889.580514633196,308,311,Wood
1369_1,1.88085339830451,TRUE,1.49011611938477e-08,-646.502703330923,1301.00540666185,1316.02837551619,1107.27177535096,313,316,Wood
